dataset,layer,head,mean_delta_p,std_delta_p,n,t_statistic,p_value_raw,p_value_fdr,significant_raw,significant_fdr
JapaneseVowels,0,0,0.17641468441838193,0.24685669394154572,18,2.946553184979596,0.00902529704450926,0.018566325348704765,True,True
JapaneseVowels,0,1,0.14800601217171383,0.1883355229186404,18,3.2401981949738206,0.004812451247385819,0.012317539814880388,True,True
JapaneseVowels,0,2,0.11265172201415731,0.14397572250685803,18,3.226064371720478,0.004961231314326822,0.012317539814880388,True,True
JapaneseVowels,0,3,0.17434722198069924,0.254130441298076,18,2.8286733698159066,0.011584084407232602,0.023153846937426573,True,True
JapaneseVowels,0,4,0.1491551114918871,0.18351584595913903,18,3.3511126849436135,0.003787875991104189,0.010489502744596218,True,True
JapaneseVowels,0,5,0.15118614555750456,0.1808352059652851,18,3.4470967306181692,0.003077397730150268,0.009232193190450804,True,True
JapaneseVowels,0,6,0.17210605070512328,0.22746391926235757,18,3.119665871256989,0.006236018889070387,0.01360585939433539,True,True
JapaneseVowels,0,7,0.16010079111179543,0.2083730556421639,18,3.1679358469095136,0.0056221384390065,0.012888247640028492,True,True
JapaneseVowels,1,0,0.10813826583843264,0.13073668495913265,18,3.4104084279202436,0.0033318646316565547,0.009595770139170878,True,True
JapaneseVowels,1,1,0.10130068031139672,0.14899318232082628,18,2.803305482605519,0.012220085883641802,0.023153846937426573,True,True
JapaneseVowels,1,2,0.0402771586086601,0.05407577844966444,18,3.071004875091017,0.006921194299260827,0.01465664675137587,True,True
JapaneseVowels,1,3,0.05819087022812002,0.08925888000339915,18,2.687991428841724,0.015560045432578978,0.02742277288638046,True,True
JapaneseVowels,1,4,0.06316831068963641,0.09894112282306275,18,2.6323697339777343,0.01746856079572503,0.029946104221242907,True,True
JapaneseVowels,1,5,0.03557513920693762,0.06791777234601662,18,2.1596711954711023,0.045374972637438116,0.06667342918154172,True,False
JapaneseVowels,1,6,0.07270643966168994,0.08262819055784208,18,3.6280151890521286,0.0020785819908960374,0.006506865362804987,True,True
JapaneseVowels,1,7,0.061009324699019395,0.10836878220383903,18,2.3212209712618708,0.03295870608329009,0.05158753995645405,True,False
JapaneseVowels,2,0,0.04275481146760285,0.055329783245673995,18,3.1860345973446154,0.0054075908974248596,0.012888247640028492,True,True
JapaneseVowels,2,1,0.05420022579427394,0.0803158094277581,18,2.7824317214050684,0.012768546019112651,0.0235727003429772,True,True
JapaneseVowels,2,2,0.02007962051882512,0.031726353768670564,18,2.6095150084088865,0.018315873519983813,0.03039447702740461,True,True
JapaneseVowels,2,3,0.042057491606101394,0.07717469432754097,18,2.2469474191179413,0.038213485789740036,0.05832648954479477,True,False
JapaneseVowels,2,4,0.030883328549356923,0.047402107757270745,18,2.686277714309461,0.015615745671411094,0.02742277288638046,True,True
JapaneseVowels,2,5,0.030488456832244992,0.04829795687088684,18,2.602742145335025,0.018574402627858373,0.03039447702740461,True,True
JapaneseVowels,2,6,0.03980030773931907,0.058405442935501664,18,2.80968458577603,0.012057055044514733,0.023153846937426573,True,True
JapaneseVowels,2,7,0.03219571241384579,0.05262821445258418,18,2.5223413781954322,0.021920897788601866,0.03507343646176299,True,True
PenDigits,0,0,0.02157589022780095,0.0421658152820226,70,4.250429012963113,6.561938195469596e-05,0.0012557634528911374,True,True
PenDigits,0,1,0.03550456096605298,0.08597357077295423,70,3.4303918135714198,0.001021622358622849,0.0034573593144854877,True,True
PenDigits,0,2,0.02109253233689482,0.03688622562352127,70,4.7499501365977865,1.0694421828082052e-05,0.0007699983716219078,True,True
PenDigits,0,3,0.010322041953830713,0.030064010896796847,70,2.85195878560791,0.0057281100622348854,0.012888247640028492,True,True
PenDigits,0,4,0.02858691013747635,0.06509980244011551,70,3.6476410221596725,0.0005096175475435931,0.0021583802013611,True,True
PenDigits,0,5,0.031194354669059975,0.06450778449382492,70,4.016875992805922,0.00014807877603869904,0.0012557634528911374,True,True
PenDigits,0,6,0.02969315632929335,0.058175570751144566,70,4.239750083163771,6.814187892142845e-05,0.0012557634528911374,True,True
PenDigits,0,7,0.026887548255971134,0.05462840629555055,70,4.088436128816784,0.00011568734233228977,0.0012557634528911374,True,True
PenDigits,1,0,0.02152769163757122,0.04682748731951823,70,3.8187493565484503,0.0002897514359565052,0.0014901502420620269,True,True
PenDigits,1,1,0.02493952579812425,0.05332662826262601,70,3.8847995246260547,0.00023212352359218826,0.0013851075173573048,True,True
PenDigits,1,2,0.019693075302659832,0.04121455854691745,70,3.9690579011564244,0.00017441159067932462,0.0012557634528911374,True,True
PenDigits,1,3,0.014266003728542793,0.03448116553293079,70,3.436726258189204,0.0010014661195338797,0.0034573593144854877,True,True
PenDigits,1,4,0.017266760123155627,0.04855664787396606,70,2.9538382065947104,0.00428887672881755,0.011437004610180134,True,True
PenDigits,1,5,0.01886463389491837,0.04418723715260443,70,3.5463049553326953,0.0007070714258177793,0.0028282857032711174,True,True
PenDigits,1,6,0.015801275652380094,0.03142749559040891,70,4.176446482062781,8.513324046307702e-05,0.0012557634528911374,True,True
PenDigits,1,7,0.02509577908068812,0.05514954167823396,70,3.7799261975088765,0.0003297693271101167,0.0015828927701285601,True,True
PenDigits,2,0,0.011579253264088558,0.02807255228697082,70,3.4262827439061065,0.0010349019291058432,0.0034573593144854877,True,True
PenDigits,2,1,0.010412034102955658,0.022390984007960482,70,3.862664137957474,0.00025008885730062446,0.0013851075173573048,True,True
PenDigits,2,2,0.010953395636378056,0.022030609478518856,70,4.129969153229153,0.00010014165060160807,0.0012557634528911374,True,True
PenDigits,2,3,0.010259558078411958,0.021329555668577832,70,3.99550235744845,0.0001593385010741585,0.0012557634528911374,True,True
PenDigits,2,4,0.009135375489963085,0.02219009002155902,70,3.4197305178986754,0.001056415346092788,0.0034573593144854877,True,True
PenDigits,2,5,0.007960529344433911,0.017632825394421778,70,3.750115000563283,0.0003640302378082358,0.001638136070137061,True,True
PenDigits,2,6,0.012658186394634998,0.026970473702525474,70,3.8985890395056058,0.00022156445545331555,0.0013851075173573048,True,True
PenDigits,2,7,0.014749816870140162,0.030735005294249197,70,3.986372529114309,0.0001643950754414855,0.0012557634528911374,True,True
LSST,0,0,-0.0106472706240977,0.09902690813184653,74,-0.9186424357365601,0.36130804612115086,0.433569655345381,False,False
LSST,0,1,-0.012677877846054992,0.07745948185495166,74,-1.3984064081684477,0.1662249786473327,0.21760360841105372,False,False
LSST,0,2,-0.006754591089823401,0.07450140796791149,74,-0.7746330323635815,0.44105837357564825,0.5040667126578837,False,False
LSST,0,3,0.013468259882813362,0.10684624480743041,74,1.076994920027968,0.2850288427390995,0.3538289082278477,False,False
LSST,0,4,0.014119838733665098,0.06286847360435131,74,1.918926102499875,0.058903355926770755,0.08315767895544106,False,False
LSST,0,5,-0.011788289420952966,0.1136512795750175,74,-0.8862125383905398,0.3784131612135374,0.43944754205443054,False,False
LSST,0,6,-0.009200488516804514,0.12062237672923674,74,-0.6516950708307114,0.5166444520232707,0.5706608093803769,False,False
LSST,0,7,-0.013571850277209089,0.11024007646386313,74,-1.05186737272787,0.2963299061354097,0.36162293630083897,False,False
LSST,1,0,0.00032963402207440294,0.006536915673545557,74,0.43084452360086767,0.6678509388549829,0.7176905611575936,False,False
LSST,1,1,-0.0001050698374121123,0.003921840838407847,74,-0.2289019675600702,0.819585174187511,0.8410950813391405,False,False
LSST,1,2,0.0009446614229564039,0.0038373569328464664,74,2.103320300155001,0.03888432636319651,0.05832648954479477,True,False
LSST,1,3,-3.549385475696696e-05,0.0029204345434872187,74,-0.10384058381160201,0.9175806188988382,0.9175806188988384,False,False
LSST,1,4,-0.00013163663669078072,0.0037849915267930694,74,-0.29714833149440834,0.7671971765633328,0.8005535755443471,False,False
LSST,1,5,-0.0009235036002772555,0.004183423814321072,74,-1.886114955069077,0.06325743668141053,0.08758722002041457,False,False
LSST,1,6,0.0010305644246648494,0.007708257011830316,74,1.1423005603748944,0.2570619652155576,0.32470985079859904,False,False
LSST,1,7,-0.0006998411283422826,0.004532099094363194,74,-1.3193544750865345,0.191173883598339,0.24579499319786444,False,False
LSST,2,0,-0.0017040540450985614,0.010069780496443649,74,-1.4458551652330025,0.15249757702921687,0.20333010270562252,False,False
LSST,2,1,-0.002026399813259115,0.008879950037689797,74,-1.949737050378823,0.055048581537974976,0.07926995741468397,False,False
LSST,2,2,0.00015818777036850654,0.0062506133842180145,74,0.21622788347531696,0.8294132052094302,0.8410950813391405,False,False
LSST,2,3,-0.0005194530741171779,0.00497043128243278,74,-0.8929223157072981,0.37483294689184454,0.43944754205443054,False,False
LSST,2,4,-0.000398911015393055,0.005311713425508232,74,-0.6416568320872037,0.5231057419320122,0.5706608093803769,False,False
LSST,2,5,-0.001771300430150817,0.010311946848408478,74,-1.4676178738864312,0.14650353727952942,0.19902367328539844,False,False
LSST,2,6,-0.00026395965834052454,0.005782030695128519,74,-0.39004848441470424,0.697636464643833,0.738673903740529,False,False
LSST,2,7,-0.00036670643681232845,0.004446156468448502,74,-0.7046853145611177,0.4832483158817016,0.5436543553669143,False,False
